contract_id,notice_id,institution,buyer_name,file_number,publication_date,publication_year,record_type,contract_nature,object,procedure,region,cpv_subjects,cpv_codes_raw,cpv_code_list,is_cpv_71,estimated_value_raw,estimated_value_eur,awarded_value_raw,awarded_value_eur,supplier_name,source_url,source_file,source_line,raw_field_count,repaired_columns,parser_warning
BOE-B-2014-14483,BOE-B-2014-14483,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",Presidencia de la Confederación Hidrográfica del Júcar.,FP.CAG.001/2013.,2014-04-23,2014,Licitación,Servicios,"Servicios para el análisis de la documentación técnica, geográfica y jurídica de solicitudes de obras, instalaciones y actuaciones en zonas de dominio público hidráulico y de policía de los cauces del ámbito de gestión de la Confederación Hidrográfica del Júcar. TTMM varios.",Abierto,Sin definir,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71313000 (Servicios de consultoría en ingeniería ambiental).,"['71000000', '71313000']",True,"264.420,24 euros",264420.24,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14483,boe_sample.csv,88,16,True,reparada_desde_16_campos
BOE-B-2014-14658,BOE-B-2014-14658,MINISTERIO DE FOMENTO,Dirección General de Carreteras,"30.75/13-2;"" AC-546/13.",2014-04-24,2014,Contratación,Servicios,"Coordinación en materia de seguridad y salud, en las actuaciones de conservación y explotación en la Red de Carreteras del Estado en Andalucía Oriental. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Andalucía,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"532.532,62 euros",532532.62,"353.495,56 euros",353495.56,"INGENIERÍA ATECSUR, S.L., e INGENIERÍA Y PREVENCIÓN DE RIESGOS, S.L. (UTE) .",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14658,boe_sample.csv,89,15,False,
BOE-B-2014-14659,BOE-B-2014-14659,MINISTERIO DE FOMENTO,Dirección General de Carreteras,"30.80/13-2;"" A1G-532/12.",2014-04-24,2014,Contratación,Servicios,"Inspecciones de los contratos de concesión de obras públicas para la conservación y explotación de la autovía de primera generación: Autovía de Levante A-3 del p.k. 70,700 al 177,530 y la autovía A-31 del p.k. 0,000 al 29,800. Tramo: L.P. Madrid/Cuenca-L.P. Cuenca/Albacete. Provincia de Cuenca. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Castilla-La Mancha,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"960.701,28 euros",960701.28,"637.011,76 euros",637011.76,"ALAUDA INGENIERÍA, S.A.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14659,boe_sample.csv,90,15,False,
BOE-B-2014-14660,BOE-B-2014-14660,MINISTERIO DE FOMENTO,Dirección General de Carreteras.,"30.87/13-8;"" SGEX-001/13.",2014-04-24,2014,Contratación,Servicios,Mantenimiento y actualización del sistema de gestión de informes preceptivos a las solicitudes de autorizaciones complementarias de circulación de transportes especiales por las carreteras de Estado. Coeficiente de mayoración de la puntuación económica: 2.,Abierto,Sin definir,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311000 (Servicios de consultoría en ingeniería civil).,"['71000000', '71311000']",True,"355.722,21 euros",355722.21,"266.620,52 euros",266620.52,"ALAUDA INGENIERÍA, S.A.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14660,boe_sample.csv,91,15,False,
BOE-B-2014-14661,BOE-B-2014-14661,MINISTERIO DE FOMENTO,Dirección General de Carreteras,"30.86/13-2;"" A1G-538/12.",2014-04-24,2014,Contratación,Servicios,"Inspecciones de los contratos de concesión de obras públicas para la conservación y explotación de la Autovía de primera generación: Autovía A-2 del noroeste, p.k. 5,9 al 62,0. Tramo: Madrid-Guadalajara. Red de Carreteras del Estado. Provincia de Madrid. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"963.915,43 euros",963915.43,"651.887,50 euros",651887.5,"URCI CONSULTORES, S.L.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14661,boe_sample.csv,92,15,False,
BOE-B-2014-14662,BOE-B-2014-14662,MINISTERIO DE FOMENTO,Dirección General de Carreteras.,"30.92/13-2;"" AC-555/13.",2014-04-24,2014,Contratación,Servicios,"Gestión técnica de la conservación de los puentes y estructuras de la Red de Carreteras del Estado. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Sin definir,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"1.269.604,41 euros",1269604.41,"882.375,06 euros",882375.06,"GEOTECNIA Y CIMIENTOS, S.A.;"" INÉS INGENIEROS CONSULTORES, S.L. y GESTIÓN INTEGRAL DEL SUELO, S.L. (UTE).",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14662,boe_sample.csv,93,17,True,reparada_desde_17_campos
BOE-B-2014-14670,BOE-B-2014-14670,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",Confederación Hidrográfica del Duero.,452-A.611.10.03/2013.,2014-04-24,2014,Licitación,Servicios,"Asistencia técnica a la gestión del sistema de auscultación y a la explotación de las presas de Arlanzón, Úzquiza, Cuerda del Pozo y Azud de Campillo de Buitrago"".",Abierto,Castilla y León,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311100-2.,"['71000000', '71311100']",True,"796.499,26 euros",796499.26,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14670,boe_sample.csv,94,16,True,reparada_desde_16_campos
BOE-B-2014-14671,BOE-B-2014-14671,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",Confederación Hidrográfica del Duero.,452-A.611.10.07/2013.,2014-04-24,2014,Licitación,Servicios,"Servicios para la inspección, estudio de comportamiento y gestión de la auscultación de las presas de Ruesga, Requejada, Aguilar de Campóo, Compuerto y Camporredondo"".",Abierto,"Cantabria, Comunidad de Madrid, Castilla y León","71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311100-2.,"['71000000', '71311100']",True,"1.088.990,86 euros",1088990.86,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14671,boe_sample.csv,95,16,True,reparada_desde_16_campos
BOE-B-2014-14672,BOE-B-2014-14672,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",Confederación Hidrográfica del Duero.,452-A.611.01.10/2013.,2014-04-24,2014,Licitación,Servicios,"Contrato de servicios para apoyo al control de expedientes de centrales hidroeléctricas y grandes usuarios"".",Abierto,Castilla y León,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71313000-5.,"['71000000', '71313000']",True,"227.000,00 euros",227000.0,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14672,boe_sample.csv,96,16,True,reparada_desde_16_campos
BOE-B-2014-14673,BOE-B-2014-14673,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",Confederación Hidrográfica del Duero.,452-A.611.10.04/2013.,2014-04-24,2014,Licitación,Servicios,"Asistencia técnica a la gestión del sistema de auscultación y a la explotación de las presas de Riaño, Juan Benet, Azud de Secos, Azud de Villomar, Azud de Benamariel, Azud de Tolibia e infraestructuras de aportación de recursos del Curueño al embalse del Porma"".",Abierto,"Principado de Asturias, Cantabria, Castilla y León, Comunidad Valenciana","71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311100-2.,"['71000000', '71311100']",True,"1.047.893,36 euros",1047893.36,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14673,boe_sample.csv,97,16,True,reparada_desde_16_campos
