contract_key_canon,source,source_record_id,source_dataset,buyer_name,buyer_id,supplier_name,supplier_id,contract_title,procedure,publication_date,award_date,estimated_value_eur,awarded_value_eur,cpv_codes_raw,cpv_code_list,source_file
3020/13251J0206DIRECCIONGENERALDECARRETERAS20140228,boe,BOE-B-2014-7248,boe_2014_2024,Dirección General de Carreteras,MINISTERIO DE FOMENTO,"Elsamex, S.A.",,"Ejecución de diversas operaciones de conservación y explotación en la A-4 L.P. Ciudad Real a L.P. Córdoba, pk. 245,000 al 347,500. Provincia de Jaén.",Abierto,2014-02-28 00:00:00,,11945791.4,7341883.4,71300000 (Servicios de ingeniería).,['50200000' '71000000' '71300000'],boe_sample.csv
03000514014PRESIDENCIADELACONFEDERACIONHIDROGRAFICADELSEGURA20140303,boe,BOE-B-2014-7635,boe_2014_2024,Presidencia de la Confederación Hidrográfica del Segura.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",No disponible,,"Realización de las tareas correspondientes al proceso de planificación hidrológica, preparación, realización y publicación de propuestas del Plan Hidrológico de la cuenca del Segura 2015/2021 y definición de su programa de medidas.",Abierto,2014-03-03 00:00:00,,375007.56,,71310000 (Servicios de consultoría en ingeniería y construcción).,['71000000' '71310000'],boe_sample.csv
J1303512JUNTADECONTRATACIONDELMINISTERIODEINDUSTRIAENERGIAYTURISMO20140304,boe,BOE-B-2014-7819,boe_2014_2024,"Junta de Contratación del Ministerio de Industria, Energía y Turismo","MINISTERIO DE INDUSTRIA, ENERGÍA Y TURISMO","AT4 WIRELESS, S.A.",,Servicio para la realización de pruebas técnicas que forman parte del control de mercado sobre equipos de telecomunicación.,Abierto,2014-03-04 00:00:00,,1633800.0,894546.35,71316000 (Servicios de consultoría en telecomunicaciones).,['71000000' '71316000'],boe_sample.csv
J1303712JUNTADECONTRATACIONDELMINISTERIODEINDUSTRIAENERGIAYTURISMO20140304,boe,BOE-B-2014-7821,boe_2014_2024,"Junta de Contratación del Ministerio de Industria, Energía y Turismo","MINISTERIO DE INDUSTRIA, ENERGÍA Y TURISMO","Eurocontrol, S.A.",,Servicio de apoyo en determinadas actividades vinculadas con el control de los niveles de emisión radioeléctrica en relación con la salud.,Abierto,2014-03-04 00:00:00,,1094100.0,1036497.02,71316000 (Servicios de consultoría en telecomunicaciones).,['71000000' '71316000'],boe_sample.csv
14023DIRECCIONDELCANALDEEXPERIENCIASHIDRODINAMICASDEELPARDO20140307,boe,BOE-B-2014-8271,boe_2014_2024,Dirección del Canal de Experiencias Hidrodinámicas de El Pardo.,MINISTERIO DE DEFENSA,No disponible,,"Servicio para la preparación, realización y análisis de maniobra en mala mar.",Abierto,2014-03-07 00:00:00,,63000.0,,71340000 (Servicios integrados de ingeniería).,['71000000' '71340000'],boe_sample.csv
001/13/RL/05DIVISIONECONOMICAYTECNICACUERPONACIONALDEPOLICIA20140307,boe,BOE-B-2014-8275,boe_2014_2024,División Económica y Técnica (Cuerpo Nacional de Policía),MINISTERIO DEL INTERIOR,"GRUPO MGO, S.A.",,"Asistencia técnica para el desarrollo y planificación de la actividad preventiva de revisión y actualización de la evaluación inicial de riesgos, dentro del plan de prevención de riesgos laborales, de la Dirección General de la Policía.",Abierto,2014-03-07 00:00:00,,495867.77,432817.0,71317000 (Servicios de consultoría en protección y control de riesgos).,['71000000' '71317000'],boe_sample.csv
V01/1410COMITEEJECUTIVODELAMANCOMUNIDADDELOSCANALESDELTAIBILLA20140310,boe,BOE-B-2014-8593,boe_2014_2024,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",No disponible,,"Servicio de dirección, control y vigilancia de las obras correspondientes al proyecto 08/12 de renovación del Canal de Murcia- Segregación tramo III- Hms 81,6 al 142,8 (Mu/Varios). Programa Cohesión Feder 2007-2013.",Abierto,2014-03-10 00:00:00,,201031.78,,71520000 (Servicios de supervisión de obras).,['71000000' '71520000'],boe_sample.csv
V01/1411COMITEEJECUTIVODELAMANCOMUNIDADDELOSCANALESDELTAIBILLA20140310,boe,BOE-B-2014-8594,boe_2014_2024,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",No disponible,,"Servicio de dirección, control y vigilancia de las obras correspondientes al proyecto 08/13 de abastecimiento a Beniel (Ac/Orihuela y otros). Fondes Feder. P.O. Comunidad Valenciana.",Abierto,2014-03-10 00:00:00,,131201.34,,71520000 (Servicios de supervisión de obras).,['71000000' '71520000'],boe_sample.csv
V01/1412COMITEEJECUTIVODELAMANCOMUNIDADDELOSCANALESDELTAIBILLA20140310,boe,BOE-B-2014-8595,boe_2014_2024,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",No disponible,,"Servicio de dirección, control y vigilancia de las obras correspondientes al proyecto 01/14 de mejora del abastecimiento a Goñar (Mu/Puerto Lumbreras). Programa Cohesión Feder 2007-2013.",Abierto,2014-03-10 00:00:00,,132781.71,,71520000 (Servicios de supervisión de obras).,['71000000' '71520000'],boe_sample.csv
V01/1413COMITEEJECUTIVODELAMANCOMUNIDADDELOSCANALESDELTAIBILLA20140310,boe,BOE-B-2014-8598,boe_2014_2024,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",No disponible,,"Servicio de dirección, control y vigilancia de las obras correspondientes al proyecto 11/13 de mejora del abastecimiento a Las Torres de Cotillas (Mu/Las Torres de Cotillas). Programa Cohesión Feder 2007-2013.",Abierto,2014-03-10 00:00:00,,132253.71,,71520000 (Servicios de supervisión de obras).,['71000000' '71520000'],boe_sample.csv
